Tabla 6: Tasa de incidencia de la deserción por comuna. Período 2010-2020.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
Comuna /1/2,2010,Sin información,Sin información,Sin información,Sin información,Sin información,2011,Sin información,Sin información,Sin información,Sin información,Sin información,2012,Sin información,Sin información,Sin información,Sin información,Sin información,2013,Sin información,Sin información,Sin información,Sin información,Sin información,2014,Sin información,Sin información,Sin información,Sin información,Sin información,2015,Sin información,Sin información,Sin información,Sin información,Sin información,2016,Sin información,Sin información,Sin información,Sin información,Sin información,2017,Sin información,Sin información,Sin información,Sin información,Sin información,2018,Sin información,Sin información,Sin información,Sin información,Sin información,2019,Sin información,Sin información,Sin información,Sin información,Sin información,2020,Sin información,Sin información,Sin información,Sin información,Sin información
Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información,Global,Sin información,Sin información,Sistema regular,Sin información,Sin información
Sin información,Desertores 2010,Matrícula teórica 2011,Tasa de incidencia,Desertores 2010,Matrícula teórica 2011,Tasa de incidencia,Desertores 2011,Matrícula teórica 2012,Tasa de incidencia,Desertores 2011,Matrícula teórica 2012,Tasa de incidencia,Desertores 2012,Matrícula teórica 2013,Tasa de incidencia,Desertores 2012,Matrícula teórica 2013,Tasa de incidencia,Desertores 2013,Matrícula teórica 2014,Tasa de incidencia,Desertores 2013,Matrícula teórica 2014,Tasa de incidencia,Desertores 2014,Matrícula teórica 2015,Tasa de incidencia,Desertores 2014,Matrícula teórica 2015,Tasa de incidencia,Desertores 2015,Matrícula teórica 2016,Tasa de incidencia,Desertores 2015,Matrícula teórica 2016,Tasa de incidencia,Desertores 2016,Matrícula teórica 2017,Tasa de incidencia,Desertores 2016,Matrícula teórica 2017,Tasa de incidencia,Desertores 2017,Matrícula teórica 2018,Tasa de incidencia,Desertores 2017,Matrícula teórica 2018,Tasa de incidencia,Desertores 2018,Matrícula teórica 2019,Tasa de incidencia,Desertores 2018,Matrícula teórica 2019,Tasa de incidencia,Desertores 2019,Matrícula teórica 2020,Tasa de incidencia,Desertores 2019,Matrícula teórica 2020,Tasa de incidencia,Desertores 2020,Matrícula teórica 2021,Tasa de incidencia,Desertores 2020,Matrícula teórica 2021,Tasa de incidencia
ARICA,586,40222,0.01456914097070694,1004,40640,0.024704724550247192,795,39786,0.019981903955340385,1370,40361,0.03394365683197975,707,39643,0.017834169790148735,1134,40070,0.02830047346651554,692,39545,0.017499051988124847,1065,39918,0.026679692789912224,637,39813,0.015999799594283104,1017,40193,0.025302913039922714,559,40067,0.013951631262898445,932,40440,0.02304648794233799,554,40644,0.013630548492074013,862,40952,0.021049033850431442,572,41364,0.013828449882566929,827,41619,0.019870731979608536,468,42008,0.011140734888613224,719,42259,0.01701412722468376,558,42582,0.013104128651320934,663,42687,0.015531660988926888,302,43250,0.006982658989727497,380,43328,0.008770310319960117
CAMARONES,10,91,0.10989011079072952,10,91,0.10989011079072952,2,96,0.02083333395421505,4,98,0.040816325694322586,11,96,0.1145833358168602,18,103,0.17475728690624237,9,91,0.09890110045671463,10,92,0.10869564861059189,9,87,0.1034482792019844,14,92,0.15217390656471252,4,92,0.043478261679410934,5,93,0.05376344174146652,3,85,0.03529411926865578,6,88,0.06818182021379471,4,103,0.03883495181798935,4,103,0.03883495181798935,2,111,0.018018018454313278,2,111,0.018018018454313278,2,112,0.01785714365541935,2,112,0.01785714365541935,1,115,0.008695651777088642,2,116,0.017241379246115685
PUTRE,10,223,0.044843047857284546,13,226,0.05752212554216385,9,251,0.03585657477378845,9,251,0.03585657477378845,4,248,0.016129031777381897,6,250,0.024000000208616257,7,226,0.03097345121204853,8,227,0.035242289304733276,13,228,0.05701754242181778,14,229,0.061135370284318924,3,212,0.014150943607091904,4,213,0.018779342994093895,3,240,0.012500000186264515,3,240,0.012500000186264515,3,238,0.012605042196810246,10,245,0.040816325694322586,5,234,0.021367521956562996,6,235,0.025531914085149765,9,227,0.039647575467824936,9,227,0.039647575467824936,2,229,0.008733624592423439,2,229,0.008733624592423439
GENERAL LAGOS,0,74,0,0,74,0,0,82,0,0,82,0,1,72,0.013888888992369175,1,72,0.013888888992369175,1,59,0.016949152573943138,1,59,0.016949152573943138,2,58,0.03448275849223137,2,58,0.03448275849223137,2,44,0.04545454680919647,2,44,0.04545454680919647,5,47,0.10638298094272614,5,47,0.10638298094272614,0,50,0,0,50,0,3,55,0.05454545468091965,3,55,0.05454545468091965,1,57,0.017543859779834747,1,57,0.017543859779834747,1,60,0.01666666753590107,1,60,0.01666666753590107
IQUIQUE,769,35501,0.021661361679434776,1223,35955,0.0340147390961647,870,34886,0.024938371032476425,1279,35295,0.03623742610216141,748,34952,0.021400777623057365,1105,35309,0.031295135617256165,915,34814,0.026282530277967453,1244,35143,0.03539822995662689,805,34739,0.023172803223133087,1149,35083,0.03275090456008911,769,34767,0.02211867645382881,1105,35103,0.03147879242897034,650,34865,0.018643338233232498,975,35190,0.027706734836101532,597,35474,0.016829226166009903,847,35724,0.023709550499916077,586,36114,0.01622639410197735,820,36348,0.022559700533747673,719,36520,0.019687842577695847,883,36684,0.024070439860224724,365,36522,0.00999397598206997,422,36579,0.01153667364269495
ALTO HOSPICIO,978,19740,0.0495440736413002,1146,19908,0.05756479874253273,491,20296,0.02419195882976055,656,20461,0.03206099569797516,509,20555,0.0247628316283226,696,20742,0.033555105328559875,562,20601,0.027280228212475777,774,20813,0.037188295274972916,450,21002,0.021426530554890633,611,21163,0.028871143236756325,420,21356,0.019666604697704315,608,21544,0.028221314772963524,398,22017,0.01807694137096405,569,22188,0.025644492357969284,330,22666,0.014559252187609673,478,22814,0.020952047780156136,347,23612,0.014695917256176472,506,23771,0.021286441013216972,362,24272,0.014914304949343204,486,24396,0.019921299070119858,198,25066,0.007899146527051926,272,25140,0.010819410905241966
POZO ALMONTE,60,2441,0.0245800893753767,80,2461,0.03250711038708687,64,2493,0.025671880692243576,78,2507,0.031112883239984512,78,2461,0.0316944345831871,100,2483,0.040273863822221756,83,2506,0.03312050923705101,109,2532,0.04304897412657738,44,2632,0.016717325896024704,79,2667,0.029621297493577003,57,2701,0.02110329456627369,73,2717,0.02686786837875843,43,2707,0.015884744003415108,51,2715,0.018784530460834503,52,2775,0.01873873919248581,60,2783,0.021559467539191246,33,2843,0.01160745695233345,47,2857,0.016450822353363037,42,2911,0.014428031630814075,50,2919,0.01712915301322937,15,2974,0.005043711978942156,19,2978,0.006380120757967234
